contract_date_dummy,month_day,day_of_year,p_fishable,n_years,contract_day_index,wind_threshold,wave_threshold,strike_percent,strike_days,loss_amount,trigger_prob,discount_factor,weather_derivative_price
2001-01-01,01-01,1,0.225,40,1,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-01,01-01,1,0.225,40,1,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-01,01-01,1,0.225,40,1,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-01,01-01,1,0.225,40,1,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-02,01-02,2,0.225,40,2,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-02,01-02,2,0.225,40,2,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-02,01-02,2,0.225,40,2,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-02,01-02,2,0.225,40,2,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-03,01-03,3,0.325,40,3,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-03,01-03,3,0.325,40,3,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-03,01-03,3,0.325,40,3,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-03,01-03,3,0.325,40,3,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-04,01-04,4,0.3,40,4,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-04,01-04,4,0.3,40,4,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-04,01-04,4,0.3,40,4,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-04,01-04,4,0.3,40,4,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-05,01-05,5,0.4,40,5,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-05,01-05,5,0.4,40,5,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-05,01-05,5,0.4,40,5,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-05,01-05,5,0.4,40,5,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-06,01-06,6,0.325,40,6,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-06,01-06,6,0.325,40,6,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-06,01-06,6,0.325,40,6,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-06,01-06,6,0.325,40,6,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-07,01-07,7,0.325,40,7,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-07,01-07,7,0.325,40,7,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-07,01-07,7,0.325,40,7,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-07,01-07,7,0.325,40,7,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-08,01-08,8,0.4,40,8,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-08,01-08,8,0.4,40,8,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-08,01-08,8,0.4,40,8,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-08,01-08,8,0.4,40,8,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-09,01-09,9,0.5,40,9,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-09,01-09,9,0.5,40,9,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-09,01-09,9,0.5,40,9,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-09,01-09,9,0.5,40,9,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-10,01-10,10,0.425,40,10,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-10,01-10,10,0.425,40,10,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-10,01-10,10,0.425,40,10,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-10,01-10,10,0.425,40,10,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-11,01-11,11,0.4,40,11,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-11,01-11,11,0.4,40,11,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-11,01-11,11,0.4,40,11,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-11,01-11,11,0.4,40,11,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-12,01-12,12,0.375,40,12,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-12,01-12,12,0.375,40,12,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-12,01-12,12,0.375,40,12,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-12,01-12,12,0.375,40,12,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-13,01-13,13,0.325,40,13,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-13,01-13,13,0.325,40,13,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-13,01-13,13,0.325,40,13,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-13,01-13,13,0.325,40,13,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-14,01-14,14,0.35,40,14,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-14,01-14,14,0.35,40,14,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-14,01-14,14,0.35,40,14,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-14,01-14,14,0.35,40,14,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-15,01-15,15,0.375,40,15,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-15,01-15,15,0.375,40,15,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-15,01-15,15,0.375,40,15,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-15,01-15,15,0.375,40,15,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-16,01-16,16,0.375,40,16,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-16,01-16,16,0.375,40,16,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-16,01-16,16,0.375,40,16,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-16,01-16,16,0.375,40,16,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-17,01-17,17,0.325,40,17,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-17,01-17,17,0.325,40,17,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-17,01-17,17,0.325,40,17,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-17,01-17,17,0.325,40,17,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-18,01-18,18,0.375,40,18,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-18,01-18,18,0.375,40,18,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-18,01-18,18,0.375,40,18,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-18,01-18,18,0.375,40,18,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-19,01-19,19,0.4,40,19,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-19,01-19,19,0.4,40,19,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-19,01-19,19,0.4,40,19,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-19,01-19,19,0.4,40,19,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-20,01-20,20,0.425,40,20,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-20,01-20,20,0.425,40,20,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-20,01-20,20,0.425,40,20,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-20,01-20,20,0.425,40,20,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-21,01-21,21,0.5,40,21,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-21,01-21,21,0.5,40,21,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-21,01-21,21,0.5,40,21,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-21,01-21,21,0.5,40,21,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-22,01-22,22,0.45,40,22,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
2001-01-22,01-22,22,0.45,40,22,8.5,1.5,0.8500000000000001,163,9652.5,5.11e-4,0.951229424500714,4.69
2001-01-22,01-22,22,0.45,40,22,8.5,1.5,0.9,173,6352.5,0.014608,0.951229424500714,88.27
2001-01-22,01-22,22,0.45,40,22,8.5,1.5,0.95,183,3052.5,0.14051,0.951229424500714,407.99
2001-01-23,01-23,23,0.45,40,23,8.5,1.5,0.8,154,12622.5,9e-6,0.951229424500714,0.11
